system:index,Aspect,Eastness,Elevation,GaussianCurvature,HAND,Hillshade,HorizontalCurvature,MaximalCurvature,MeanCurvature,MinimalCurvature,Northness,PRCPTOT,ShapeIndex,Slope,TPI,VerticalCurvature,lineament,presence,.geo
00000000000000000586_0,127.49771322326195,0.7933776364136009,1494.7045745765276,-9.869021052941656E-7,613.43445,0.759099401731852,-6.072904909521226E-4,6.336897279086112E-4,-4.6185018334532E-4,-0.0015573900945992513,-0.6087297643772384,1258.3375,-0.2683817865226754,40.67946605276128,127,-3.164098757385176E-4,0.5412007,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000338_0,39.13100385463841,0.6310956487995572,1122.8371763835012,3.8175231828891527E-8,335.23517,0.8302489781235028,-9.831176933752935E-4,-3.778757715159508E-5,-5.240231817059951E-4,-0.001010258786260395,0.7757050225867215,1258.3375,-0.6860943861952067,34.047426238468695,-1,-6.492867003669644E-5,0.83284825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000399_0,15.686834417040675,0.2703792288572292,2036.5246482485368,-5.590145403684625E-7,114.29387,0.8282892691771598,-5.044551641832015E-4,7.217705955813111E-4,-2.6366928741400952E-5,-7.74504453064113E-4,0.9627539003310088,1258.3375,-0.02243666121222698,34.21024023477016,-60,4.517213067003997E-4,0.74980366,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000509_0,208.08070561672253,-0.4707147978417152,2106.038248679176,-2.5124528772618333E-6,466.6569,0.7392868659078411,3.7123728922440035E-4,0.002123437665667408,4.7011849582259734E-4,-0.0011832006740222136,-0.8822854294914051,1251.1565,0.18102175021926606,42.17205998194129,58,5.689997024207942E-4,0.7920279,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000051a_0,221.743193777723,-0.665793036409861,1463.392820248105,2.710644850345613E-6,94.56001,0.8951704355691927,0.002645410839824228,0.00382207778009039,0.002265642459923554,7.092071397567182E-4,-0.7461364705388268,1258.3375,0.9267026829924759,26.295282685419377,-131,0.0018858740800228816,1.101466,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_0,243.87492023969168,-0.897834917628459,1706.0465161334998,-2.426216014001134E-7,388.37268,0.8849453272145283,1.0518517179861817E-4,6.468738562649624E-4,1.3590299160812848E-4,-3.750678730487054E-4,-0.4403322162720987,1258.3375,0.1693218489859409,27.574167317498258,-13,1.6662081141763873E-4,1.2973949,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053d_0,275.47745424042347,-0.9954338363891146,1899.2814927910451,-1.2468195921852887E-6,129.67223,0.8461393374447299,-3.9120678756410677E-4,0.0014015011370226652,2.5593480659407173E-4,-8.896315238345219E-4,0.09545405895848236,1258.3375,0.14222935327882788,32.06067579094896,-20,9.030764007522503E-4,0.98133576,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000551_0,210.0748201638481,-0.5011304797423941,1631.2812307536321,-7.142759851734235E-7,413.69797,0.7951393105319319,-0.002183540267581581,3.12905288492226E-4,-9.8490867408643E-4,-0.002282722636665086,-0.8653717364654094,1258.3375,-0.4831295963667508,37.17125127091005,-43,2.137229194087208E-4,1.2760121,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000573_0,253.6510656594008,-0.9595652342360905,2095.616940007196,-2.0078242972085328E-7,437.16818,0.8626642587197273,-4.937974845571776E-4,1.724298623632895E-4,-4.959998515971881E-4,-0.0011644295655576656,-0.2814863429110491,1258.3375,-0.4723956850260942,30.207500940479523,84,-4.982022186371985E-4,0.08567434,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000057d_0,235.81047031296282,-0.827183276387058,1627.7483924307248,-2.872099418908684E-9,540.8395,0.8801547538650183,-1.4940653092388218E-4,1.3333824091793641E-5,-1.010328520703979E-4,-2.1539952823258944E-4,-0.5619322265768106,1258.3375,-0.5623973122685505,28.157244369352643,22,-5.265917321691364E-5,0.5869891,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
